DeckType	Front	Back	Infinitief	Imperfectum	Perfectum	English
irregular-verbs	werpen	Imperfectum: wierp, wierpen | Perfectum: geworpen | English: to throw	werpen	wierp, wierpen	geworpen	to throw
irregular-verbs	weten	Imperfectum: wist, wisten | Perfectum: geweten | English: to know	weten	wist, wisten	geweten	to know
irregular-verbs	wijken	Imperfectum: week, weken | Perfectum: geweken | English: to yield (to)	wijken	week, weken	geweken	to yield (to)
irregular-verbs	wijzen	Imperfectum: wees, wezen | Perfectum: gewezen | English: to show, to point	wijzen	wees, wezen	gewezen	to show, to point
irregular-verbs	willen	Imperfectum: wilde, wilden / wou, - | Perfectum: gewild | English: want	willen	wilde, wilden / wou, -	gewild	want
irregular-verbs	winnen	Imperfectum: won, wonnen | Perfectum: gewonnen | English: to win	winnen	won, wonnen	gewonnen	to win
irregular-verbs	worden	Imperfectum: werd, werden | Perfectum: is geworden | English: to become	worden	werd, werden	is geworden	to become
irregular-verbs	wrijven	Imperfectum: wreef, wreven | Perfectum: gewreven | English: to rub	wrijven	wreef, wreven	gewreven	to rub
irregular-verbs	zeggen	Imperfectum: zei, zeiden | Perfectum: gezegd | English: to say	zeggen	zei, zeiden	gezegd	to say
irregular-verbs	zenden	Imperfectum: zond, zonden | Perfectum: gezonden | English: to send	zenden	zond, zonden	gezonden	to send
irregular-verbs	zien	Imperfectum: zag, zagen | Perfectum: gezien | English: to see	zien	zag, zagen	gezien	to see
irregular-verbs	zijn	Imperfectum: was, waren | Perfectum: is geweest | English: to be	zijn	was, waren	is geweest	to be
irregular-verbs	zingen	Imperfectum: zong, zongen | Perfectum: gezongen | English: to sing	zingen	zong, zongen	gezongen	to sing
irregular-verbs	zinken	Imperfectum: zonk, zonken | Perfectum: is gezonken | English: to sink	zinken	zonk, zonken	is gezonken	to sink
irregular-verbs	zitten	Imperfectum: zat, zaten | Perfectum: gezeten | English: to sit	zitten	zat, zaten	gezeten	to sit
irregular-verbs	zoeken	Imperfectum: zocht, zochten | Perfectum: gezocht | English: to search, to look for	zoeken	zocht, zochten	gezocht	to search, to look for
irregular-verbs	zuigen	Imperfectum: zoog, zogen | Perfectum: gezogen | English: to suck	zuigen	zoog, zogen	gezogen	to suck
irregular-verbs	zullen	Imperfectum: zou, zouden | Perfectum: - | English: will, shall	zullen	zou, zouden	-	will, shall
irregular-verbs	zwemmen	Imperfectum: zwom, zwommen | Perfectum: (is) gezwommen | English: to swim	zwemmen	zwom, zwommen	(is) gezwommen	to swim
irregular-verbs	zweren	Imperfectum: zwoer, zwoeren / zweerde, zweerden | Perfectum: gezworen / gezweerd | English: to swear	zweren	zwoer, zwoeren / zweerde, zweerden	gezworen / gezweerd	to swear
irregular-verbs	zwerven	Imperfectum: zwierf, zwierven | Perfectum: gezworven | English: to wander	zwerven	zwierf, zwierven	gezworven	to wander
irregular-verbs	zwijgen	Imperfectum: zweeg, zwegen | Perfectum: gezwegen | English: to be silent	zwijgen	zweeg, zwegen	gezwegen	to be silent
